Original_Value,Factorized_Value
NGC2682,0
NGC4147,1
NGC5466,2
NGC6791,3
NGC6811,4
NGC6819,5
NGC7789,6
Pleiades,7
Teutsch51,8
NGC 869,9
NGC1662,10
Basel11B,11
NGC1528,12
NGC2252,13
Basel4,14
NGC1960,15
NGC6205,16
Waterloo2,17
NGC5272,18
Berkeley71,19
Berkeley32,20
Berkeley17,21
Berkeley29,22
Berkeley53,23
Berkeley66,24
IC166,25
King5,26
King7,27
M107,28
M13,29
M15,30
M2,31
M3,32
M35,33
M5,34
NGC2099,35
NGC1746,36
NGC1039,37
NGC1647,38
NGC2183,39
NGC1912,40
NGC2281,41
NGC2420,42
NGC2158,43
NGC869,44
NGC2808,45
NGC5139,46
NGC6266,47
NGC2532,48
IC2395,49
NGC 752,50
Mel25,51
NGC2632,52
NGC2168,53
NGC 884,54
NGC1851,55
NGC1904,56
NGC0104,57
M53,58
M67,59
M71,60
M92,61
NGC1245,62
NGC1798,63
NGC188,64
NGC2243,65
NGC0362,66
NGC3201,67
NGC5286,68
NGC5904,69
NGC6218,70
NGC6093,71
NGC6388,72
NGC6522,73
NGC6254,74
NGC6293,75
NGC6441,76
NGC6541,77
NGC6624,78
NGC7078,79
NGC6656,80
NGC6681,81
NGC6752,82
NGC7089,83
NGC1261,84
NGC7099,85
Berkeley86,86
IC1805,87
IC2944,88
NGC457,89
NGC884,90
NGC1502,91
NGC2244,92
NGC2362,93
NGC2384,94
NGC2422,95
NGC2467,96
NGC3293,97
NGC4755,98
NGC6193,99
NGC7160,100
Trumpler14,101
Trumpler16,102
NGC6139,103
NGC6362,104
NGC6397,105
NGC6712,106
Pal13,107
