Original_Value,Factorized_Value
NGC2632,0
NGC2168,1
NGC2099,2
NGC1746,3
NGC1039,4
NGC1647,5
NGC2183,6
NGC1912,7
NGC2281,8
NGC2420,9
NGC2158,10
NGC869,11
NGC1662,12
Basel11B,13
NGC1528,14
NGC2252,15
Basel4,16
NGC1960,17
NGC6205,18
Waterloo2,19
NGC6819,20
Berkeley71,21
Berkeley53,22
IC166,23
King7,24
NGC7078,25
NGC7089,26
NGC5904,27
NGC2682,28
NGC1245,29
NGC1798,30
NGC188,31
NGC6791,32
NGC6811,33
NGC7789,34
Pleiades,35
NGC884,36
NGC2532,37
IC2395,38
NGC2808,39
NGC0104,40
NGC1904,41
NGC1851,42
NGC6266,43
NGC5139,44
NGC3201,45
NGC0362,46
NGC5286,47
NGC6218,48
NGC6093,49
NGC6254,50
NGC6293,51
NGC6388,52
NGC6522,53
NGC6441,54
NGC6541,55
NGC6624,56
NGC6656,57
NGC6681,58
NGC6752,59
NGC7099,60
IC1805,61
IC2944,62
NGC2244,63
NGC2362,64
NGC3293,65
NGC4755,66
Trumpler16,67
NGC1261,68
NGC6139,69
NGC6362,70
NGC6397,71
NGC6712,72
Pal13,73
