,Cluster,RV,pmRA,pmDE,Plx,Dist
0,NGC752,5.44,98.092,-117.637,22.304,44.83500717360115
1,,37.97,104.92,-28.0,21.052,47.501425042751286
2,NGC2632,34.94,-36.047,-12.917,5.371,186.1850679575498
3,NGC2168,-6.37,22.784,-29.336,11.301,88.48774444739404
4,NGC2099,7.7,1.924,-5.648,666.0,1.5015015015015014
5,NGC1746,,,,,
6,NGC1039,-9.8,0.725,-5.732,1953.0,0.5120327700972862
7,NGC1647,-6.71,-1.057,-1.502,1.675,597.0149253731344
8,NGC2183,254.636,-3.577,0.493,1.17,854.7008547008547
9,NGC1912,-1.261,1.58,-4.42,0.874,1144.1647597254005
10,NGC2281,19.58,-2.94,-8.32,1.896,527.4261603375528
11,NGC2420,74.26,-1.19,-2.125,0.363,2754.8209366391184
12,NGC2158,27.15,-0.166,-1.993,0.1833,5455.537370430988
13,NGC869,-38.9,-0.694,-1.08,0.394,2538.0710659898477
14,NGC1662,-13.21,-1.128,-1.962,2.4,416.6666666666667
17,NGC1528,-9.59,-2.246,0.948,2.181,458.50527281063734
18,NGC2252,54.89,-0.65,-0.65,1.479,676.1325219743069
20,NGC1960,7.03,-0.155,-3.388,0.835,1197.6047904191616
21,NGC6205,-244.4,-3.18,-2.56,0.127,7874.015748031496
23,NGC6819,2.8,-2.916,-3.85,0.356,2808.9887640449438
24,NGC5272,-147.2,-0.14,-2.64,0.11,9090.90909090909
34,NGC6171,-34.7,-1.93,-5.98,0.194,5154.639175257732
35,M13,-244.4,-3.18,-2.56,0.127,7874.015748031496
36,NGC7078,-106.5,-0.63,-3.8,0.097,10309.278350515464
37,NGC7089,-3.6,3.51,-2.16,0.082,12195.121951219511
38,M3,-147.2,-0.14,-2.64,0.11,9090.90909090909
39,M35,-6.37,22.784,-29.336,1.13,884.9557522123895
40,NGC5904,53.8,4.06,-9.89,0.141,7092.198581560285
41,NGC5024,-63.1,-0.11,-1.35,0.067,14925.373134328358
42,NGC2682,33.92,-10.97,-2.939,11.325,88.30022075055189
43,NGC6838,-22.5,-3.41,-2.61,0.251,3984.06374501992
44,NGC6341,-4.935,-0.625,-120.7,0.112,8928.571428571428
45,NGC1245,-29.38,0.504,-1.579,0.289,3460.2076124567475
46,NGC1798,2.55,0.913,-0.318,0.178,5617.9775280898875
47,NGC188,-42.03,-23.087,-0.9565,0.5053,1979.0223629527015
48,NGC2243,59.65,-1.279,5.488,0.211,4739.336492890995
50,NGC4147,179.1,-1.71,-2.1,0.029,34482.75862068965
51,NGC5466,106.9,-5.41,-0.79,0.057,17543.859649122805
52,NGC6791,-47.75,-0.421,-2.269,0.192,5208.333333333333
53,NGC6811,7.1,-3399.0,-8.812,0.87,1149.4252873563219
54,NGC7789,-54.91,-0.922,-1.933,0.453,2207.5055187637968
57,Mel13,-38.9,-0.6943,-10.831,0.3942,2536.783358701167
58,NGC884,-43.525,-0.6021,-10.616,0.3976,2515.0905432595573
59,NGC2532,0.0175,,,,
61,NGC2808,103.7,1.02,0.28,0.112,8928.571428571428
62,NGC0104,-17.2,5.25,-2.53,0.232,4310.3448275862065
63,NGC1904,205.6,2.47,-1.59,0.088,11363.636363636364
64,NGC1851,320.2,2.12,-0.63,0.088,11363.636363636364
65,NGC6266,-74.5,-4.99,-2.95,0.185,5405.405405405406
66,NGC5139,232.7,-3.24,-6.73,0.193,5181.347150259067
67,NGC3201,494.3,8.35,-2.0,0.222,4504.504504504504
68,NGC0362,223.5,6.71,-2.51,0.114,8771.929824561403
69,NGC5286,62.2,0.2,-0.16,0.088,11363.636363636364
70,NGC6218,-41.2,-0.15,-6.77,0.208,4807.692307692308
72,NGC6093,11.2,-2.934,-5.578,0.102,9803.921568627451
73,NGC6254,74.0,-4.72,-6.54,0.196,5102.04081632653
74,NGC6293,-142.6,0.87,-4.31,0.127,7874.015748031496
75,NGC6388,83.4,-1.33,-2.68,0.1,10000.0
76,NGC6522,-14.0,2.62,-6.4,0.125,8000.0
77,NGC6441,17.1,-2.551,-5.348,0.083,12048.192771084337
78,NGC6541,-163.9,0.32,-8.85,0.145,6896.551724137931
79,NGC6624,54.7,0.11,-6.92,0.13,7692.307692307692
81,NGC6656,-147.8,9.82,-5.54,0.306,3267.97385620915
82,NGC6681,217.4,1.39,-4.72,0.121,8264.462809917355
83,NGC6752,-26.2,-3.17,-4.01,0.254,3937.007874015748
85,NGC7099,-185.3,-0.73,-7.24,0.136,7352.941176470587
89,NGC457,-11.57,-1.586,-0.661,0.318,3144.6540880503144
91,NGC1502,-16.3,-0.571,-0.848,0.916,1091.703056768559
92,NGC2244,33.62,-1.598,0.179,0.617,1620.745542949757
93,NGC2362,28.86,-2.791,2.953,0.742,1347.7088948787061
94,NGC2384,46.0,-3.99,2.28,0.33,3030.30303030303
95,NGC2422,36.14,-70.2,0.9592,20.69,48.332527791203475
96,NGC2467,55.8,-5.82,1.63,,
97,NGC3293,-13.16,-7.671,3.344,0.376,2659.574468085106
98,NGC4755,-20.0,-4.647,-1.134,0.462,2164.5021645021643
99,NGC6193,-64.534,1.278,-4111.0,0.812,1231.527093596059
100,NGC7160,-20.4,-3.472,-1.378,1.05,952.3809523809523
103,NGC1261,71.5,1.61,-2.05,0.068,14705.882352941175
105,NGC6139,25.0,-6.16,-2.67,0.112,8928.571428571428
107,NGC6362,-14.7,-5.49,-4.76,0.136,7352.941176470587
108,NGC6397,18.4,3.3,-17.6,0.416,2403.846153846154
109,NGC6712,-107.5,3.32,-4.38,0.146,6849.315068493152
