NGC_names,,Actual Names,NGC_names,Mel_names,M_names,Common_name
 NGC 2168,39,M35,NGC2168,,M35,
NGC 0104,62,NGC0104,NGC0104,Mel1,,47Tuc
NGC 0362,68,NGC0362,NGC0362,Mel4,,
NGC 1039,6,NGC1039,NGC1039,,M34,
NGC 1261,104,NGC1261,NGC1261,,,
NGC 1502,91,NGC1502,NGC1502,,,
NGC 1528,16,NGC1528,NGC1528,,,
NGC 1647,7,NGC1647,NGC1647,,,
NGC 1662,14,NGC1662,NGC1662,,,
NGC 1746,5,NGC1746,NGC1746,,,
NGC 1798,46,NGC1798,NGC1798,,,
NGC 1851,64,NGC1851,NGC1851,,,
NGC 188,47,NGC188,NGC188,Mel2,,
NGC 1904,63,NGC1904,NGC1904,,M79,
NGC 1912,9,NGC1912,NGC1912,,M38,
NGC 1960,19,NGC1960,NGC1960,,M36,
NGC 2099,4,NGC2099,NGC2099,,M37,
NGC 2158,12,NGC2158,NGC2158,Mel40,,
NGC 2168,3,NGC2168,NGC2168,,M35,
NGC 2183,8,NGC2183,NGC2183,,,
NGC 2243,48,NGC2243,NGC2243,Mel46,,
NGC 2244,92,NGC2244,NGC2244,,,
NGC 2252,17,NGC2252,NGC2252,,,
NGC 2281,10,NGC2281,NGC2281,,,
NGC 2362,93,NGC2362,NGC2362,,,TauCMa
NGC 2384,94,NGC2384,NGC2384,,,
NGC 2420,11,NGC2420,NGC2420,Mel69,,
NGC 2422,95,NGC2422,NGC2422,,M47,
NGC 2467,96,NGC2467,NGC2467,,,
NGC 2532,59,NGC2532,NGC2532,,,
NGC 2632,2,NGC2632,NGC2632,Mel88,M44,Beehive
NGC 2682,42,M67,NGC2682,,M67,
NGC 2808,61,NGC2808,NGC2808,,,
NGC 3201,67,NGC3201,NGC3201,,,
NGC 3293,97,NGC3293,NGC3293,Mel100,,
NGC 4147,50,NGC4147,NGC4147,,,
NGC 457,89,NGC457,NGC457,,,ET
NGC 4755,98,NGC4755,NGC4755,Mel144,,JewelBox
NGC 5024,41,M53,NGC5024,,M53,
NGC 5139,66,NGC5139,NGC5139,,,OmeCen
NGC 5145,45,NGC1245,NGC5145,Mel18,,
NGC 5272,23,NGC5272,NGC5272,Mel119,M3,
NGC 5286,69,NGC5286,NGC5286,,,
NGC 5466,51,NGC5466,NGC5466,,,
NGC 5904,40,M5,NGC5904,,M5,
NGC 6093,72,NGC6093,NGC6093,,M80,
NGC 6139,106,NGC6139,NGC6139,,,
NGC 6171,34,M107,NGC6171,,M107,
NGC 6193,99,NGC6193,NGC6193,,,
NGC 6205,20,NGC6205,NGC6205,,M13,Hercules
NGC 6218,70,NGC6218,NGC6218,,M12,
NGC 6254,73,NGC6254,NGC6254,,M10,
NGC 6266,65,NGC6266,NGC6266,,M62,
NGC 6293,74,NGC6293,NGC6293,,,
NGC 6341,44,M92,NGC6341,,M92,
NGC 6362,108,NGC6362,NGC6362,,,
NGC 6388,75,NGC6388,NGC6388,,,
NGC 6397,109,NGC6397,NGC6397,,,
NGC 6441,77,NGC6441,NGC6441,,,
NGC 6522,76,NGC6522,NGC6522,,,
NGC 6541,78,NGC6541,NGC6541,,,
NGC 6624,79,NGC6624,NGC6624,,,
NGC 6656,81,NGC6656,NGC6656,,M22,
NGC 6681,82,NGC6681,NGC6681,,M70,
NGC 6712,110,NGC6712,NGC6712,,,
NGC 6752,83,NGC6752,NGC6752,,,
NGC 6791,52,NGC6791,NGC6791,,,
NGC 6811,53,NGC6811,NGC6811,Mel222,,
NGC 6819,22,NGC6819,NGC6819,Mel223,,Foxhead
NGC 6838,43,M71,NGC6838,,M71,
NGC 7078,36,M15,NGC7078,,M15,
NGC 7089,37,M2,NGC7089,,M2,
NGC 7099,85,NGC7099,NGC7099,,M30,
NGC 7160,100,NGC7160,NGC7160,,,
NGC 752,0,Mel12,NGC752,Mel12,,
NGC 7789,54,NGC7789,NGC7789,Mel245,,
NGC 869,13,NGC869,NGC869,Mel13,,HPersei
NGC 884,58,Mel14,NGC884,Mel14,,ChiPersei
